order_id,customer_name,region,product,sales_rep,order_date,quantity,unit_price,discount,shipping_cost,revenue,total_cost,priority,sales_rep_email
ELX-1060,Electronics Plus,North,Power Bank,Alice Brown,2023-06-19,35,567.12,0.02,21.66,19452.22,19473.88,Low,alice.brownyahoo.com
ELX-1061,GadgetHub,CENTRAL,iPhone 15,Mike Davis,2023-07-14,31,21.99,0.09,20.07,620.34,640.41,HIGH,mike.davisbusiness.org
ELX-1062,GadgetHub,Central,Phone Holder,Mike Davis,2023-04-23,32,275.01,0.11,5.58,7832.28,7837.86,,mike.davis.@yahoo.com
ELX-1063,Digital World,West,AirPods Pro,Alice Brown,2023-03-07,40,647.94,0.23,16.84,19956.55,19973.39,HIGH,alice.brownbusiness.org
ELX-1064,TechMart,North,Power Bank,Jane Doe,2023-08-25,-12,74.59,0.09,9.23,814.52,823.75,Medium,jane.doebusiness.org
ELX-1065,Digital World,East,USB-C Cable,Bob Wilson,2023-04-08,17,1004.37,0.12,19.98,"$15,025.38",15045.36,low,bob.wilson.@business.org
ELX-1066,TechMart,east,Apple Watch Series 9,John Smith,2023-11-30,3,908.77,,8.99,2072.0,2080.99,HIGH,john.smithyahoo.com
ELX-1067,TechMart,Central,iPad Air,Jane Doe,2023-03-06,31,808.31,0.14,9.36,21549.54,21558.9,high,JANE.DOE@GMAIL.COM
ELX-1068,Digital World,East,AirPods Pro,Mike Davis,2023-11-07,48,866.25,0.19,8.28,33679.8,33688.08,Low,mike.davis@yahoo.com
ELX-1069,Digital World,north,iPhone 15,Bob Wilson,2023-10-22,44,1091.01,0.09,23.83,43684.04,43707.87,Low,bob.wilson@business.org
ELX-1070,Electronics Plus,North,Apple Watch Series 9,John Smith,2023-12-23,50,372.38,,21.11,15453.77,15474.88,High,JOHN.SMITH@BUSINESS.ORG
ELX-1071,Smart Store,NORTH,Wireless Charger,Mike Davis,2023-08-08,43,454.13,0.13,11.82,16989.0,17000.82,High,mike.davisyahoo.com
ELX-1072,  GadgetHub  ,West,Dell XPS 13,Alice Brown,2023-07-05,41,1071.52,0.11,8.06,39099.76,39107.82,high,
ELX-1073,  Electronics Plus  ,Central,Fitbit Charge 6,Mike Davis,2023-10-03,50,587.94,0.11,19.62,26163.33,26182.95,,MIKE.DAVIS@BUSINESS.ORG
ELX-1074,Digital World,East,Apple Watch Series 9,John Smith,2023-05-23,29,303.98,0.12,17.21,7757.57,7774.78,Medium,john.smith.@yahoo.com
ELX-1075,GadgetHub,East,iPhone 15,Alice Brown,2023-06-16,12,592.75,0.09,10.17,6472.83,6483.0,High,ALICE.BROWN@BUSINESS.ORG
ELX-1076,Digital World,Central,Fitbit Charge 6,Mike Davis,2023-01-06,34,1138.45,0.02,19.4,,37952.55,HIGH,mike.davis.@yahoo.com
ELX-1077,GadgetHub,Central,Apple Watch Series 9,Alice Brown,2023-11-27,46,596.62,0.2,6.86,21955.62,21962.48,Medium,alice.brown.@yahoo.com
ELX-1078,Electronics Plus,West,Apple Watch Series 9,Bob Wilson,2023-12-06,38,452.29,0.14,11.88,14780.84,14792.72,Low,Missing
ELX-1079,Smart Store,East,Wireless Charger,Alice Brown,2023-05-19,20,312.91,0.03,8.85,6070.45,6079.3,Low,ALICE.BROWN@COMPANY.COM
ELX-1080,TechMart,Central,AirPods Pro,Jane Doe,2023-04-21,48,588.78,0.18,24.53,23174.38,23198.91,high,jane.doe.@business.org
ELX-1081,  Smart Store  ,Central,iPhone Case,John Smith,2023-10-04,19,284.57,0.04,5.28,5190.56,5195.84,Medium,john.smithgmail.com
ELX-1082,Smart Store,South,Fitbit Charge 6,John Smith,2023-01-28,-36,361.18,0.24,17.76,9881.88,9899.64,Medium,john.smith.@gmail.com
ELX-1083,GadgetHub,North,iPhone 15,Mike Davis,2023-05-26,31,582.28,0.09,24.31,16426.12,16450.43,high,
ELX-1084,Digital World,West,Dell XPS 13,John Smith,2023-07-25,32,102.79,0.16,6.07,2763.0,2769.07,,
ELX-1085,  Electronics Plus  ,Central,iPhone Case,John Smith,2023-05-08,8,676.32,0.1,16.92,4869.5,4886.42,Low,
ELX-1086,Smart Store,South,Laptop Stand,Alice Brown,2023-08-19,29,367.36,0.15,13.58,"$9,055.42",9069.0,HIGH,alice.brown.@gmail.com
ELX-1087,Smart Store,Central,Samsung Galaxy S24,Mike Davis,2023-02-20,49,261.23,0.05,18.21,12160.26,12178.47,Medium,mike.davisbusiness.org
ELX-1088,Electronics Plus,South,AirPods Pro,Mike Davis,2023-02-08,11,18.17,0.11,16.88,177.88,194.76,,Missing
ELX-1089,Digital World,North,Apple Watch Series 9,Bob Wilson,2023-12-28,19,848.04,0.11,18.75,"$14,340.36",14359.11,low,bob.wilson@yahoo.com
ELX-1090,Digital World,Central,Sony WH-1000XM5,Alice Brown,2023-02-28,35,281.4,,10.31,9455.04,9465.35,medium,alice.brown.@company.com
ELX-1091,Electronics Plus,North,Samsung Galaxy S24,Jane Doe,2023-07-06,39,902.51,0.14,10.77,30270.19,30280.96,Low,
ELX-1092,TechMart,West,iPhone Case,Alice Brown,2023-05-20,33,654.88,0.11,16.96,19233.83,19250.79,HIGH,alice.brown.@company.com
ELX-1093,GadgetHub,East,Fitbit Charge 6,John Smith,2023-02-16,15,1154.86,,16.5,13685.09,13701.59,HIGH,Missing
ELX-1094,TechMart,East,Samsung Galaxy S24,Jane Doe,2023-08-29,34,787.04,0.23,8.63,20604.71,20613.34,high,Missing
ELX-1095,Smart Store,West,Gaming Headset,John Smith,2023-08-29,23,498.89,0.08,7.09,10556.51,10563.6,high,john.smith@company.com
ELX-1096,Electronics Plus,East,Power Bank,Alice Brown,2023-05-28,43,1135.05,0.2,16.0,,39061.72,HIGH,
ELX-1097,GadgetHub,North,Screen-Protector,Bob Wilson,2023-06-15,8,1164.67,0.1,15.29,8385.62,8400.91,High,bob.wilson@company.com
ELX-1098,TechMart,Central,Bluetooth Speaker,Alice Brown,2023-01-28,13,629.35,0.16,14.97,6872.5,6887.47,High,Missing
ELX-1099,GadgetHub,North,Sony WH-1000XM5,Bob Wilson,2023-10-09,9,1114.29,0.11,18.97,8925.46,8944.43,,BOB.WILSON@YAHOO.COM
ELX-1100,TechMart,North,Apple Watch Series 9,Jane Doe,2023-06-09,36,31.2,-,9.49,1010.88,1020.37,,JANE.DOE@YAHOO.COM
ELX-1101,TechMart,West,Dell XPS 13,Jane Doe,2023-09-13,46,360.86,0.18,13.31,Missing,13624.95,low,jane.doe@yahoo.com
ELX-1102,GadgetHub,West,Apple Watch Series 9,Alice Brown,2023-10-10,10,469.55,0.23,15.16,3615.54,3630.7,Low,alice.browncompany.com
ELX-1103,Electronics Plus,North,Fitbit Charge 6,Alice Brown,2023-06-24,33,331.6,0.0,19.52,10942.8,10962.32,high,alice.brown@gmail.com
ELX-1104,Smart Store,CENTRAL,Gaming Headset,Jane Doe,2023-08-17,35,588.94,0.08,20.26,18963.87,18984.13,medium,jane.doe@business.org
ELX-1105,GadgetHub,West,SCREEN PROTECTOR,Jane Doe,2023-12-24,16,692.58,0.06,20.51,10416.4,10436.91,High,jane.doe.@company.com
ELX-1106,TechMart,East,Gaming Headset,Alice Brown,2023-07-17,43,953.99,0.16,8.04,34458.12,34466.16,Low,alice.brown@gmail.com
ELX-1107,TechMart,South,Laptop Stand,Mike Davis,2023-06-19,7,1050.92,0.11,15.52,6547.23,6562.75,Low,mike.davis.@yahoo.com
ELX-1108,GadgetHub,North,iPad Air,Alice Brown,2023-12-02,10,103.67,0.2,10.3,829.36,839.66,low,alice.brownyahoo.com
ELX-1109,Smart Store,West,MacBook Pro,Bob Wilson,2023-12-12,35,465.31,0.08,19.37,14982.98,15002.35,low,bob.wilsonbusiness.org
ELX-1110,GadgetHub,Central,Samsung Galaxy S24,Mike Davis,2023-02-05,16,762.93,0.23,24.95,9399.3,9424.25,High,mike.daviscompany.com
ELX-1111,TechMart,West,Dell XPS 13,John Smith,2023-08-16,11,837.39,0.23,5.92,7092.69,7098.61,medium,john.smith.@company.com
ELX-1112,TechMart,East,Wireless Charger,Bob Wilson,2023-08-09,10,304.37,0.1,18.64,2739.33,2757.97,High,bob.wilsonbusiness.org
ELX-1113,Electronics Plus,South,AirPods Pro,John Smith,2023-11-09,25,749.36,0.06,23.26,17609.96,17633.22,Low,john.smith@yahoo.com
ELX-1114,Electronics Plus,South,Bluetooth Speaker,Bob Wilson,2023-08-24,17,805.21,0.22,14.31,10677.08,10691.39,Low,bob.wilson@gmail.com
ELX-1115,Digital World,Central,AirPods Pro,John Smith,2023-08-15,23,1185.37,0.07,24.24,25355.06,25379.3,high,JOHN.SMITH@GMAIL.COM
ELX-1116,Digital World,West,iPhone Case,Jane Doe,2023-07-16,31,141.38,0.1,12.18,3944.5,3956.68,medium,
ELX-1117,Digital World,East,Apple iPhone 15,Alice Brown,2023-05-21,1,685.63,0.17,19.89,569.07,588.96,Low,alice.brown.@yahoo.com
ELX-1118,TechMart,Central,Gaming Headset,Bob Wilson,2023-04-28,39,965.29,0.05,8.8,35763.99,35772.79,high,bob.wilson@company.com
ELX-1119,  Digital World  ,South,Dell XPS 13,John Smith,2023-06-08,29,54.54,0.09,7.63,1439.31,1446.94,medium,john.smithyahoo.com
ELX-1120,Digital World,East,Power Bank,Jane Doe,2023-04-13,9,947.02,0.22,12.32,"$6,648.08",6660.4,Medium,jane.doe.@gmail.com
ELX-1121,Smart Store,East,AirPods Pro,Bob Wilson,2023-09-04,19,899.67,0.08,7.3,15726.23,15733.53,Low,Missing
ELX-1122,TechMart,South,Apple Watch Series 9,Alice Brown,2023-10-13,24,122.01,0.1,10.29,2635.42,2645.71,HIGH,alice.brown.@yahoo.com
ELX-1123,TechMart,WEST,Wireless Charger,Bob Wilson,2023-10-27,25,989.56,0.24,7.17,18801.64,18808.81,,bob.wilson@gmail.com
ELX-1124,Electronics Plus,West,Apple iPhone 15,Mike Davis,2023-10-15,21,1099.58,0.06,6.26,21705.71,21711.97,high,MIKE.DAVIS@GMAIL.COM
ELX-1125,GadgetHub,East,Portable Charger,John Smith,2023-03-13,3,1136.32,0.08,14.85,"$3,136.24",3151.09,high,john.smith@business.org
ELX-1126,TechMart,South,Phone Holder,Jane Doe,2023-07-18,30,454.65,0.24,18.93,10366.02,10384.95,High,JANE.DOE@GMAIL.COM
ELX-1127,  Smart Store  ,west,iPad Air,Alice Brown,2023-02-12,7,1002.93,0.15,23.78,"$5,967.43",5991.21,HIGH,alice.brown@yahoo.com
ELX-1128,Digital World,NORTH,Wireless Charger,Jane Doe,2023-08-16,29,1141.41,0.21,6.99,26149.7,26156.69,high,jane.doebusiness.org
ELX-1129,Digital World,Central,Wireless Charger,John Smith,2023-07-23,18,239.92,0.03,21.96,4189.0,4210.96,low,john.smith.@company.com
ELX-1130,GadgetHub,North,Sony WH-1000XM5,Mike Davis,2023-11-01,4,947.35,0.06,7.52,3562.04,3569.56,,MIKE.DAVIS@BUSINESS.ORG
ELX-1131,Smart Store,South,MacBook Pro,Mike Davis,2023-04-17,38,270.9,0.22,11.57,"$8,029.48",8041.05,,mike.davis.@gmail.com
ELX-1132,Electronics Plus,Central,iPhone 15,Bob Wilson,2023-03-16,9,655.16,0.2,7.2,4717.15,4724.35,,
ELX-1133,TechMart,South,iPhone 15,Bob Wilson,2023-05-02,38,398.67,0.04,6.05,14543.48,14549.53,Low,bob.wilson.@gmail.com
ELX-1134,GadgetHub,Central,Dell XPS 13,John Smith,2023-09-01,29,936.95,0.13,7.18,23639.25,23646.43,Low,
ELX-1135,Smart Store,South,Samsung Galaxy S24,Mike Davis,2023-06-04,30,777.36,0.01,24.97,23087.59,23112.56,Low,mike.davis@business.org
ELX-1136,GadgetHub,West,Dell XPS 13,Alice Brown,2023-12-31,29,102.09,0.02,17.17,Missing,2918.57,,
ELX-1137,TechMart,south,Fitbit Charge 6,Mike Davis,2023-11-21,38,664.8,0.08,24.89,"$23,241.41",23266.3,Medium,mike.davis.@business.org
ELX-1138,Smart Store,East,Bluetooth Speaker,Mike Davis,2023-11-06,28,132.53,0.18,22.06,3042.89,3064.95,Medium,
ELX-1139,  Smart Store  ,South,Power Bank,Alice Brown,2023-04-27,27,416.63,0.11,13.32,Missing,10024.94,high,
ELX-1140,TechMart,East,Power Bank,Bob Wilson,2023-12-07,17,458.55,0.04,23.46,7483.54,7507.0,Medium,
ELX-1141,TechMart,North,MacBook Pro,John Smith,2023-08-10,7,897.34,0.09,7.6,5716.06,5723.66,,
ELX-1142,TechMart,Central,Phone Holder,Mike Davis,2023-06-18,43,159.84,0.09,18.31,6254.54,6272.85,Medium,mike.davis.@business.org
ELX-1143,GadgetHub,North,iPhone Case,Mike Davis,2023-06-09,23,137.77,0.13,8.09,"$2,756.78",2764.87,low,MIKE.DAVIS@BUSINESS.ORG
ELX-1144,GadgetHub,South,Dell XPS 13,Bob Wilson,2023-10-12,24,151.14,0.07,9.52,3373.44,3382.96,high,bob.wilson.@gmail.com
ELX-1145,GadgetHub,Central,Phone Holder,John Smith,2023-11-08,43,997.91,0.07,8.61,"$39,906.42",39915.03,Low,john.smithcompany.com
ELX-1146,Digital World,East,Wireless Charger,John Smith,2023-04-03,10,686.09,0.1,7.84,6174.81,6182.65,High,john.smith@gmail.com
ELX-1147,TechMart,North,Laptop Stand,Jane Doe,2023-07-12,27,552.57,0.04,11.23,14322.61,14333.84,Medium,jane.doeyahoo.com
ELX-1148,Digital World,Central,MacBook Pro,John Smith,2023-03-21,11,909.01,0.01,6.63,9899.12,9905.75,HIGH,JOHN.SMITH@BUSINESS.ORG
ELX-1149,GadgetHub,West,Gaming Headset,Mike Davis,2023-08-15,27,338.7,0.19,7.28,7407.37,7414.65,low,mike.davis@yahoo.com
ELX-1150,  GadgetHub  ,North,iPhone Case,Mike Davis,2023-07-09,34,805.55,0.01,12.91,27114.81,27127.72,Low,-
ELX-1151,  Smart Store  ,North,iPhone 15,Jane Doe,2023-06-04,14,924.31,0.19,10.79,10481.68,10492.47,medium,jane.doe@yahoo.com
ELX-1152,TechMart,North,Gaming Headset,Alice Brown,2023-03-31,9,465.55,0.18,15.01,3435.76,3450.77,,alice.brown.@business.org
ELX-1153,Digital World,North,USB C Cable,John Smith,2023-08-12,2,559.81,0.02,11.26,1097.23,1108.49,low,john.smith.@business.org
ELX-1154,GadgetHub,Central,USB-C Cable,Alice Brown,2023-05-29,8,494.96,0.24,8.44,3009.36,3017.8,High,alice.browncompany.com
ELX-1155,Smart Store,west,Wireless Charger,John Smith,2023-08-12,7,303.33,0.15,15.48,1804.81,1820.29,High,john.smith.@gmail.com
ELX-1156,  GadgetHub  ,East,Screen Protector,Jane Doe,2023-06-20,50,214.24,0.13,7.28,9319.44,9326.72,medium,jane.doe@business.org
ELX-1157,Smart Store,south,Wireless Charger,Bob Wilson,2023-11-27,10,294.98,0.04,8.95,2831.81,2840.76,HIGH,bob.wilsoncompany.com
ELX-1158,  Smart Store  ,South,MacBook Pro,Jane Doe,2023-11-18,32,564.78,0.14,16.59,15542.75,15559.34,Low,JANE.DOE@BUSINESS.ORG
ELX-1159,  Smart Store  ,Central,Screen Protector,Bob Wilson,2023-03-19,29,95.92,0.11,11.06,2475.7,2486.76,,bob.wilson.@business.org
ELX-1160,Digital World,Central,Samsung Galaxy S24,Bob Wilson,2023-09-17,5,382.83,0.11,6.14,1703.59,1709.73,medium,bob.wilson.@yahoo.com
ELX-1161,Digital World,North,MacBook Pro,Mike Davis,2023-11-01,33,470.61,0.15,24.08,13200.61,13224.69,high,
ELX-1162,TechMart,West,Sony WH-1000XM5,Bob Wilson,2023-11-06,31,609.12,0.24,14.01,14350.87,14364.88,medium,
ELX-1163,Digital World,North,Laptop Stand,Jane Doe,2023-01-21,16,853.53,0.25,15.48,10242.36,10257.84,Medium,jane.doebusiness.org
ELX-1164,Smart Store,South,Wireless Charger,Bob Wilson,2023-05-25,25,499.39,0.08,16.96,11485.97,11502.93,High,bob.wilsongmail.com
ELX-1165,  Digital World  ,North,Screen Protector,John Smith,2023-10-13,44,473.08,0.06,22.03,"$19,566.59",19588.62,high,john.smithgmail.com
ELX-1166,  Smart Store  ,South,Screen Protector,John Smith,2023-10-26,43,182.59,0.09,24.35,7144.75,7169.1,low,
ELX-1167,GadgetHub,South,MacBook Pro,Bob Wilson,2023-10-14,25,777.54,0.08,7.56,17883.42,17890.98,Low,-
ELX-1168,Smart Store,North,Power Bank,Mike Davis,2023-07-05,2,444.68,0.05,9.28,844.89,854.17,HIGH,MIKE.DAVIS@YAHOO.COM
ELX-1169,GadgetHub,South,Apple Watch Series 9,Jane Doe,2023-03-21,5,365.51,0.2,15.15,1462.04,1477.19,Low,jane.doebusiness.org
ELX-1170,Smart Store,Central,Samsung  Galaxy  S24,Bob Wilson,2023-11-13,9,722.74,0.04,8.62,6244.47,6253.09,high,
ELX-1171,  Smart Store  ,South,Bluetooth Speaker,John Smith,2023-07-30,24,816.49,0.06,13.88,18420.01,18433.89,high,john.smith@company.com
ELX-1172,Digital World,WEST,Apple Watch Series 9,Mike Davis,2023-05-03,20,1159.23,Missing,23.08,18547.68,18570.76,low,mike.davis.@business.org
ELX-1173,Electronics Plus,East,Bluetooth Speaker,Alice Brown,2023-05-25,50,467.52,0.13,24.33,20337.12,20361.45,Low,ALICE.BROWN@COMPANY.COM
ELX-1174,Electronics Plus,Central,iPad Air,Bob Wilson,2023-01-27,42,584.5,0.09,23.69,Missing,22363.28,low,BOB.WILSON@COMPANY.COM
ELX-1175,Smart Store,North,iPhone Case,John Smith,2023-03-24,18,547.44,0.13,21.62,"$8,572.91",8594.53,Medium,JOHN.SMITH@COMPANY.COM
ELX-1176,TechMart,South,Bluetooth Speaker,Bob Wilson,2023-01-14,27,78.11,0.13,9.72,1834.8,1844.52,Medium,bob.wilsonyahoo.com
ELX-1177,TechMart,EAST,Apple Watch Series 9,John Smith,2023-06-13,7,1009.42,0.16,20.83,5935.39,5956.22,HIGH,JOHN.SMITH@COMPANY.COM
ELX-1178,Electronics Plus,North,iPhone Case,Alice Brown,2023-12-23,9,914.23,0.12,17.31,7240.7,7258.01,HIGH,ALICE.BROWN@YAHOO.COM
ELX-1179,  TechMart  ,North,Fitbit Charge 6,Jane Doe,2023-03-18,36,1129.17,0.15,13.47,34552.6,34566.07,,JANE.DOE@COMPANY.COM
ELX-1180,Digital World,SOUTH,iPhone Case,John Smith,2023-01-25,16,512.49,0.2,14.14,6559.87,6574.01,medium,-
